 code | shorttext |             longtext             | sortno |     insertdate      |     updatedate      
------+-----------+----------------------------------+--------+---------------------+---------------------
  186 |           | µmol/cm2                         |      0 | 2022-02-01 08:31:03 | 
  187 |           | mg/g TS                          |      0 | 2022-02-01 08:31:03 | 
  188 |           | mg/g VV                          |      0 | 2022-02-01 08:31:03 | 
  189 |           | µmol/cm3                         |      0 | 2022-02-01 08:31:03 | 
  190 |           | g/cm3                            |      0 | 2022-02-01 08:31:03 | 
  191 |           | m2                               |      0 | 2022-02-01 08:31:03 | 
  192 |           | m3/uge                           |      0 | 2022-02-01 08:31:03 | 
  193 |           | µg/kg VV                         |      0 | 2022-02-01 08:31:03 | 
  194 |           | ng/kg VV                         |      0 | 2022-02-01 08:31:03 | 
  195 |           | mg/kg ler+silt TS                |      0 | 2022-02-01 08:31:03 | 
  196 |           | µg/kg ler+silt TS                |      0 | 2022-02-01 08:31:03 | 
  197 |           | µg Sn/kg VV                      |      0 | 2022-02-01 08:31:03 | 
  198 |           | pg                               |      0 | 2022-02-01 08:31:03 | 
  199 |           | µg Sn/kg TS                      |      0 | 2022-02-01 08:31:03 | 
  200 |           | pct TS, saltkorrigeret           |      0 | 2022-02-01 08:31:03 | 
  201 |           | pg/kg TS                         |      0 | 2022-02-01 08:31:03 | 
  202 |           | ng/kg TS                         |      0 | 2022-02-01 08:31:03 | 
  203 |           | CFU/g                            |      0 | 2022-02-01 08:31:03 | 
  204 |           | Bq/l                             |      0 | 2022-02-01 08:31:03 | 
  205 |           | mSv/år                           |      0 | 2022-02-01 08:31:03 | 
  206 |           | µg/m3                            |      0 | 2022-02-01 08:31:03 | 
  207 |           | ton/m3                           |      0 | 2022-02-01 08:31:03 | 
  208 |           | kg/ton                           |      0 | 2022-02-01 08:31:03 | 
  209 |           | mg/100 g TS                      |      0 | 2022-02-01 08:31:03 | 
  210 |           | meq/100 g TS                     |      0 | 2022-02-01 08:31:03 | 
  211 |           | 10 mS/cm                         |      0 | 2022-02-01 08:31:03 | 
  212 |           | o/oo af SMOW                     |      0 | 2022-02-01 08:31:03 | 
  213 |           | µg/g TS                          |      0 | 2022-02-01 08:31:03 | 
  214 |           | µg/m2                            |      0 | 2022-02-01 08:31:03 | 
  215 |           | ng/stk                           |      0 | 2022-02-01 08:31:03 | 
  216 |           | µg/rør                           |      0 | 2022-02-01 08:31:03 | 
  217 |           | ng/rør                           |      0 | 2022-02-01 08:31:03 | 
  218 |           | TE                               |      0 | 2022-02-01 08:31:03 | 
  219 |           | antal /25 ml                     |      0 | 2022-02-01 08:31:03 | 
  221 |           | mill CFU/g                       |      0 | 2022-02-01 08:31:03 | 
  222 |           | År                               |      0 | 2022-02-01 08:31:03 | 
  223 |           | 1000000 m3                       |      0 | 2022-02-01 08:31:03 | 
  224 |           | 1000 m3                          |      0 | 2022-02-01 08:31:03 | 
  225 |           | CFU/100 ml                       |      0 | 2022-02-01 08:31:03 | 
  226 |           | cm/m                             |      0 | 2022-02-01 08:31:03 | 
  227 |           | mg/prøve                         |      0 | 2022-02-01 08:31:03 | 
  228 |           | pptv                             |      0 | 2022-02-01 08:31:03 | 
  229 |           | g/prøve                          |      0 | 2022-02-01 08:31:03 | 
  230 |           | antal/prøve                      |      0 | 2022-02-01 08:31:03 | 
