 companytype | count 
-------------+-------
 V95         | 48376
 V40         | 21901
 V42         |  6316
 V90         |  4908
 V02         |  4296
 V03         |  3205
 V85         |  1824
 V50         |  1538
 V06         |  1098
 V01         |  1096
 V80         |   991
 V60         |   653
 V30         |   571
 V81         |   491
 V97         |   479
 V41         |   441
 V84         |   370
 V88         |   324
 V93         |   324
 V70         |   323
 V91         |   302
 V99         |   282
 K90         |   279
 V52         |   268
 V51         |   208
 W01         |   195
 V92         |   186
 V07         |   174
 V86         |   133
 W99         |   131
 V04         |   128
 V98         |   126
 V26         |   115
 V94         |   103
 O99         |   102
 V53         |   102
 K02         |    98
 V96         |    96
 M11         |    82
 L03         |    74
 V25         |    60
 V05         |    57
 V87         |    47
 V83         |    44
 P01         |    37
 M93         |    26
 V82         |    25
 F07         |    24
 M42         |    19
 M94         |    16
 M99         |    13
 M41         |     7
 M50         |     7
 E11         |     6
 L02         |     6
 M91         |     6
 F01         |     3
 H01         |     3
 L01         |     3
 L04         |     3
 M63         |     3
 A06         |     2
 B01         |     2
 E06         |     2
 E08         |     2
 M29         |     2
 M33         |     2
 B03         |     1
 C04         |     1
 D10         |     1
 E05         |     1
 E09         |     1
 E13         |     1
 E14         |     1
 F05         |     1
 G99         |     1
 I01         |     1
 I02         |     1
 J01         |     1
 J06         |     1
 K07         |     1
 M36         |     1
 N75         |     1
 P03         |     1
 Q01         |     1
(85 rows)

