 compoundno | to_commission | waterworks_min | waterworks_max | pipelinenetwork_min | pipelinenetwork_max | consumer_min | consumer_max | remark | recommended_min | recommended_max | unit 
------------+---------------+----------------+----------------+---------------------+---------------------+--------------+--------------+--------+-----------------+-----------------+------
          3 |               |                |                |                     |                     |              |              |        |                 |                 |     
          4 |               |                |                |                     |                     |              |              |        |                 |                 |     
          5 |               |             30 |                |                  30 |                     |           30 |          250 |        |                 |                 |   24
          7 |               |                |                |                     |                     |              |              |        |                 |                 |     
         13 |               |              7 |            8.5 |                   7 |                 8.5 |            7 |          8.5 |        |                 |                 |    3
         15 |               |                |            0.3 |                     |                   1 |              |            1 |        |                 |                 |   11
         25 |               |                |              5 |                     |                  15 |              |           15 |        |                 |                 |  160
         32 |               |                |                |                     |                     |              |              |        |                 |                 |     
         34 |               |                |                |                     |                     |              |              |        |                 |                 |     
         35 |               |                |           1500 |                     |                1500 |              |         1500 |        |                 |                 |    1
         36 |               |                |                |                     |                     |              |              |        |                 |                 |     
         50 |               |                |                |                   5 |                     |              |              |        |                 |                 |    1
         53 |               |                |                |                     |                     |              |              |        |                 |                 |     
         54 |               |                |                |                     |                     |              |              |        |                 |                 |     
         56 |               |                |                |                     |                     |              |              |        |                 |                 |     
         57 |               |                |                |                     |                     |              |              |        |                 |                 |     
         58 |               |                |                |                     |                     |              |              |        |                 |                 |    1
         59 |               |                |                |                     |                     |              |              |        |             100 |                 |    1
         60 |               |                |                |                     |                     |              |              |        |                 |                 |     
       1617 |               |                |                |                     |                     |              |              |        |                 |                 |     
(20 rows)

