    tablename    |         columnname          | columntype | columnno | codetype | corrtablna  |           corrcolna            | standattypecode | standattopiccode | stdcodelist | remark |     insertdate      | updatedate 
-----------------+-----------------------------+------------+----------+----------+-------------+--------------------------------+-----------------+------------------+-------------+--------+---------------------+------------
 GRWCHEMANALYSIS | SAMPLEID                    |          0 |          |          | GVK$ANALYSE | PROEVEID                       |                 |                  |             |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | COMPOUNDNO                  |          0 |          |      221 | GVK$ANALYSE | STOFNR                         |              95 |             3441 | STD00019    |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | ANALYSISSITE                |          0 |          |      745 | GVK$ANALYSE | ANALYSESTED                    |            1676 |             3441 | STD00109    |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | FIELDFILTRATION             |          0 |          |      755 | GVK$ANALYSE | FELTFILTRERING                 |            1675 |             3441 | STD00108    |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | ATTRIBUTE                   |          0 |          |      754 | GVK$ANALYSE | ATTRIBUT                       |            1114 |             3441 |             |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | AMOUNT                      |          0 |          |          | GVK$ANALYSE | MAENGDE                        |                 |                  |             |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | UNIT                        |          0 |          |      752 | GVK$ANALYSE | ENHED                          |                 |                  |             |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | LABORATORY                  |          0 |          |      742 | GVK$ANALYSE | LABORATORIE                    |             601 |             3441 | STD00032    |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | LABORATORYREFNO             |          0 |          |          | GVK$ANALYSE | LABORATORIE_REFERENCENR        |            1219 |             3441 |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | ANALYSISMETHOD              |          0 |          |      753 | GVK$ANALYSE | ANALYSEMETODE                  |             101 |             3441 | STD00018    |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | QUALITYCONTROL              |          0 |          |      751 | GVK$ANALYSE | KVALITETSSIKRING               |            1451 |             3441 |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | REMARK                      |          0 |          |          | GVK$ANALYSE | BEMAERKNING                    |            1223 |             3441 |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | INSERTDATE                  |          1 |          |          | GVK$ANALYSE | INDDATO                        |                 |                  |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | INSERTUSER                  |          1 |          |          | GVK$ANALYSE | INDINITIALER                   |                 |                  |             |        | 2008-07-31 10:32:03 | 
 GRWCHEMANALYSIS | UPDATEDATE                  |          1 |          |          | GVK$ANALYSE | RETDATO                        |                 |                  |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | UPDATEUSER                  |          1 |          |          | GVK$ANALYSE | RETINITIALER                   |                 |                  |             |        | 2008-07-31 10:32:03 | 
 GRWCHEMANALYSIS | PREPROCESSING               |          0 |          |      758 | GVK$ANALYSE | FORBEHANDLING                  |             603 |             3441 | STD00033    |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | PRESERVATION                |          0 |          |      761 | GVK$ANALYSE | KONSERVERING                   |            2180 |             3441 | STD00190    |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | PACKING                     |          0 |          |      762 | GVK$ANALYSE | EMBALLAGE                      |                 |                  |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | ANALYSISNO                  |          0 |          |          | GVK$ANALYSE | ANALYSENR                      |                 |                  |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | REPORTEDCOMPOUNDNO          |          0 |          |      221 | GVK$ANALYSE | INDBERETSTOFNR                 |              95 |             3441 | STD00019    |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | REPORTEDUNIT                |          0 |          |      752 | GVK$ANALYSE | INDBERETENHED                  |             100 |             3441 | STD00016    |        | 2006-08-31 15:35:59 | 
 GRWCHEMANALYSIS | REPORTEDAMOUNT              |          0 |          |          | GVK$ANALYSE | INDBERETMAENGDE                |             622 |             3441 |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | ANALYSISRESPONSIBLE         |          0 |          |      927 | GVK$ANALYSE | DATAANSVARLIG                  |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | DETECTIONLIMIT              |          0 |          |          | GVK$ANALYSE | DETEKTIONSGRAENSE              |            1450 |             3441 |             |        | 2006-08-31 15:36:00 | 
 GRWCHEMANALYSIS | ANALYSISDATE                |          0 |          |          | GVK$ANALYSE | ANALYSEDATO                    |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | REPORTEDDETECTIONLIMIT      |          0 |          |          | GVK$ANALYSE | INDBERETDETEKGRAENSE           |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | ABSOLUTEEXPMEASUNCERTAINTY  |          0 |          |          | GVK$ANALYSE | EKSPMAALEUSIKKERHED_ABSOLUT    |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | RELATIVEEXPMEASUNCERTAINTY  |          0 |          |          | GVK$ANALYSE | EKSPMAALEUSIKKERHED_RELATIV    |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | ANALYSISID                  |          0 |          |          | GVK$ANALYSE | ANALYSEID                      |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | LABORATORYRECEIVEDDATE      |          0 |          |          | GVK$ANALYSE | LABMODTAGDATO                  |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | ACCREDITEDINDICATOR         |          0 |          |          | GVK$ANALYSE | AKKREDITERET                   |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | FRACTIONATIONMETHOD         |          0 |          |      928 | GVK$ANALYSE | FRAKTIONERINGSMETODE           |                 |                  |             |        | 2015-02-10 14:19:25 | 
 GRWCHEMANALYSIS | GUID                        |          0 |          |          | GVK$ANALYSE | GUID                           |                 |                  |             |        | 2019-03-26 11:12:49 | 
 GRWCHEMANALYSIS | GUID_GRWCHEMSAMPLE          |          0 |          |          | GVK$PROEVE  | GUID                           |                 |                  |             |        | 2020-04-01 18:53:12 | 
 GRWCHEMANALYSIS | SORTNO                      |          0 |          |          | GVK$ANALYSE | SORT_NR                        |                 |                  |             |        | 2019-03-26 11:12:49 | 
 GRWCHEMANALYSIS | ANALYSISRESULTIDENTIFIER    |          0 |          |          | GVK$ANALYSE | LABORATORIE_ANALYSEID          |                 |                  |             |        | 2019-03-26 11:12:49 | 
 GRWCHEMANALYSIS | QUANTIFICATIONLIMIT         |          0 |          |          | GVK$ANALYSE | KVANTIFIKATIONSGRAENSE         |                 |                  |             |        | 2024-06-03 15:36:31 | 
 GRWCHEMANALYSIS | REPORTEDQUANTIFICATIONLIMIT |          0 |          |          | GVK$ANALYSE | INDBERETKVANTIFIKATIONSGRAENSE |                 |                  |             |        | 2024-06-03 15:36:31 | 
(39 rows)

